CÓDIGO,UNIDADE,TÍTULO,ÁREA DE CONHECIMENTO,VINCULAÇÃO,FINANCIADO,PASSA POR COMITÊ,PARTICIPAÇÃO,STATUS,DATA DE CADASTRO,PERÍODO DE VIGÊNCIA,Unnamed: 11
PI05917-2025,FACULDADE DE ENGENHARIA DA UFCAT,FORMULAÇÕES DO MEC PARA MODELAGEM NUMÉRICA DE CONCRETOS SUSTENTÁVEIS E PROPAGAÇÃO DE FRATURAS EM CHAPAS,Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas,Tipo de vínculo desconhecido,sim,não,"EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Coordenador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Colaborador)",EM ANDAMENTO,27/01/2025,27/01/2025 a 29/01/2027,
PI05921-2025,FACULDADE DE ENGENHARIA DA UFCAT,Da Universidade ao Mercado: A Realidade da Inserção Feminina no Mercado de Trabalho Brasileiro,Ciências Sociais Aplicadas - Economia - Teoria Econômica - Economia Geral,Tipo de vínculo desconhecido,não,não,"ANA LUIZA DE PAIVA AMORIM (DISCENTE - Colaborador), KARINE CANUTO MARTINS (SERVIDOR - Colaborador), SILVIA PARREIRA TANNUS (DOCENTE - Coordenador)",SUBMETIDO À DIREÇÃO,14/02/2025,04/02/2025 a 04/02/2028,
,FACULDADE DE ENGENHARIA DA UFCAT,"PROJETO, USO E OPERAÇÃO E MANUTENÇÃO DOS SISTEMAS PREDIAIS HIDROSSANITÁRIOS EM DIFERENTES TIPOLOGIAS DE CONSTRUÇÃO: avaliação pós ocupacional e a integração com o BIM","Engenharias - Engenharia Civil - Construção Civil - Processos Construtivos, Engenharias - Engenharia Civil - Construção Civil - Instalações Prediais",Tipo de vínculo desconhecido,não,sim,HEBER MARTINS DE PAULA (DOCENTE - Coordenador),GRAVADO,13/03/2025,10/03/2025 a 31/12/2027,
PI05826-2024,FACULDADE DE ENGENHARIA DA UFCAT,Aplicação dos Métodos Numéricos Para Melhorar a Produtividade nas Operações de Mina,"Engenharias - Engenharia de Minas - Lavra - Lavra de Mina Subterrânea, Engenharias - Engenharia de Minas - Lavra - Equipamentos de Lavra",Tipo de vínculo desconhecido,não,não,"ALCIDES ELOY CANO NUNEZ (DOCENTE - Coordenador), ALDRIN GUSTAVO MARTINS (EXTERNO - Colaborador), HENRIQUE SENNA DINIZ PINTO (DOCENTE - Colaborador), JOSE MARGARIDA DA SILVA (EXTERNO - Colaborador), LEANDRO DE VILHENA COSTA (DOCENTE - Colaborador), RENATO DE PAULA ARAUJO (SERVIDOR - Colaborador)",EM ANDAMENTO (Documentos Conferidos),02/02/2024,22/01/2024 a 30/12/2026,
PI05827-2024,FACULDADE DE ENGENHARIA DA UFCAT,Aplicação da Geotecnia em projetos de escavação subterrânea,Engenharias - Engenharia de Minas - Lavra - Lavra de Mina Subterrânea,Tipo de vínculo desconhecido,não,sim,"ALCIDES ELOY CANO NUNEZ (DOCENTE - Coordenador), BRUNO CESAR RIBEIRO DA SILVA (EXTERNO - Colaborador), ERWIN FRANCISCO TOCHTROP JUNIOR (SERVIDOR - Colaborador), GABRIEL GOMES SILVA (SERVIDOR - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Vice-coodernador), RODRIGO PELUCI DE FIGUEIREDO (EXTERNO - Colaborador)",GRAVADO,02/02/2024,19/01/2024 a 30/12/2026,
PI05831-2024,FACULDADE DE ENGENHARIA DA UFCAT,Aplicação da Geotecnia em projetos de escavação subterrânea,Engenharias - Engenharia de Minas - Lavra - Lavra de Mina Subterrânea,Tipo de vínculo desconhecido,não,não,"ALCIDES ELOY CANO NUNEZ (DOCENTE - Coordenador), BRUNO CESAR RIBEIRO DA SILVA (EXTERNO - Colaborador), ERWIN FRANCISCO TOCHTROP JUNIOR (DOCENTE - Colaborador), GABRIEL GOMES SILVA (DOCENTE - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Vice-coodernador), RODRIGO PELUCI DE FIGUEIREDO (EXTERNO - Colaborador)",EM ANDAMENTO (Documentos Conferidos),01/03/2024,19/01/2024 a 30/12/2026,
PI05839-2024,FACULDADE DE ENGENHARIA DA UFCAT,Gestão de Operações para Desenvolvimento sustentável ,Engenharias - Engenharia de Produção,Tipo de vínculo desconhecido,não,não,"ALINE GONCALVES DOS SANTOS (DOCENTE - Coordenador), LAZARO ANTONIO DA FONSECA JUNIOR (DOCENTE - Colaborador), NILMAR NATANAEL ALVES RODOVALHO (DISCENTE - Colaborador)",PENDENTE PRPI,01/04/2024,12/02/2024 a 11/02/2027,
PI05835-2024,FACULDADE DE ENGENHARIA DA UFCAT,Caracterização da Microestrutura do Cordão de Solda no Processo TIG-MIG/MAG: Influência das Correntes de Soldagem,"Engenharias - Engenharia Mecânica - Processos de Fabricação - Processos de Fabricação, Seleção Econômica",Tipo de vínculo desconhecido,sim,não,"ANDRE ALVES DE RESENDE (DOCENTE - Coordenador), CARLOS ANTONIO RIBEIRO DUARTE (DOCENTE - Vice-coodernador)",EM ANDAMENTO,13/03/2024,25/01/2024 a 31/12/2027,
PI05888-2024,FACULDADE DE ENGENHARIA DA UFCAT,Desempenho agronômico de rochas ou minerais silicáticos do Estado de Goiás como remineralizadores,"Engenharias - Engenharia de Minas, Ciências Agrárias - Agronomia - Ciência do Solo - Fertilidade do Solo e Adubação",Tipo de vínculo desconhecido,sim,não,"ANDREA SANDERS (EXTERNO - Colaborador), ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Coordenador), CANUELE ADAMIANE TIAGO PACHÊCO (DISCENTE - Colaborador), EDER DE SOUSA MARTINS (EXTERNO - Colaborador), ISTHAR SOFIA FRANZOI (DISCENTE - Colaborador), JUPYRACYARA JANDYRA DE CARVALHO BARROS (DOCENTE - Colaborador), MAGDA BERGMANN (EXTERNO - Colaborador), NAJILLA DE OLIVEIRA SOUSA GONÇALVES (DISCENTE - Colaborador)",EM ANDAMENTO,05/06/2024,01/05/2024 a 01/05/2026,
PI05899-2024,FACULDADE DE ENGENHARIA DA UFCAT,BALANÇO DE GASES DE EFEITO ESTUFA E MANEJO SUSTENTÁVEL NA CAFEICULTURA TROPICAL,"Engenharias - Engenharia de Produção - Gerência de Produção, Ciências Agrárias - Agronomia - Fitotecnia - Manejo e Tratos Culturais",Tipo de vínculo desconhecido,sim,não,"ANTONIO NILSON ZAMUNER FILHO (DOCENTE - Coordenador), CANUELE ADAMIANE TIAGO PACHÊCO (DISCENTE - Colaborador), ELISABETE A. DE NADAI FERNANDES (EXTERNO - Vice-coodernador), GEORGIA ALVES DA SILVA (DISCENTE - Colaborador), ISTHAR SOFIA FRANZOI (DISCENTE - Colaborador), KLESO SILVA FRANCO JÚNIOR (EXTERNO - Colaborador), MARIANA TENORIO CAVALCANTI SOUTO MENEZES (DISCENTE - Colaborador), RENAN CALDAS UMBURANAS (EXTERNO - Colaborador)",EM ANDAMENTO,08/10/2024,01/11/2024 a 01/11/2029,
