CÓDIGO,UNIDADE,TÍTULO,ÁREA DE CONHECIMENTO,VINCULAÇÃO,FINANCIADO,PASSA POR COMITÊ,PARTICIPAÇÃO,STATUS,DATA DE CADASTRO,PERÍODO DE VIGÊNCIA,Unnamed: 11
PI05923-2025,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Fundamentos de Geometria II,Ciências Exatas e da Terra - Matemática - Geometria e Topologia - Geometria Diferencial,Tipo de vínculo desconhecido,não,não,"MARCIO ROBERTO ROCHA RIBEIRO (DOCENTE - Coordenador), PAULO ROBERTO BERGAMASCHI (DOCENTE - Vice-coodernador)",SUBMETIDO À COORDENADORIA DE PESQUISA,14/02/2025,01/01/2025 a 31/12/2026,
PI05897-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,A ETNOCOMPUTAÇÃO DOS PROFESSORES DE MATEMÁTICA DA ESCOLA ESTADUAL PROFESSORA SILVANDIRA SOUSA LIMA,Ciências Humanas - Educação - Ensino-Aprendizagem - Tecnologia Educacional,Tipo de vínculo desconhecido,não,sim,"DEIVE BARBOSA ALVES (DOCENTE - Coordenador), MOISÉS DA SILVA SANTOS (EXTERNO - Colaborador)",EM ANDAMENTO (Documentos Conferidos),11/02/2025,30/09/2024 a 30/09/2026,
PI05869-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Solução de Equações Polinomiais Usando Bases de Gröebner,"Ciências Exatas e da Terra - Matemática - Álgebra - Álgebra Comutativa, Ciências Exatas e da Terra - Matemática - Álgebra - Geometria Algébrica",Tipo de vínculo desconhecido,não,não,"JAIRO MENEZES E SOUZA (DOCENTE - Coordenador), THIAGO DE LIMA TEIXEIRA (DISCENTE - Colaborador), VICTOR EMANUEL SILVA SANTOS (DISCENTE - Colaborador)",EM ANDAMENTO (Documentos Conferidos),13/05/2024,15/01/2024 a 31/12/2026,
PI05834-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Análise estatística da evasão escolar nos cursos de graduação da UFCAT,Ciências Exatas e da Terra - Probabilidade e Estatística - Probabilidade e Estatística Aplicadas,Tipo de vínculo desconhecido,não,não,"ELIDA ALVES DA SILVA (DOCENTE - Colaborador), JARDEL VIEIRA (DOCENTE - Coordenador), LÚCIO BORGES DE ARAÚJO (EXTERNO - Colaborador), TIAGO RIBEIRO NUNES (DOCENTE - Colaborador)",EM ANDAMENTO,19/09/2024,01/04/2024 a 31/07/2026,
PI05825-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Métodos Inteligentes de Otimização para Problemas de Escalonamento e Roteamento,"Ciências Exatas e da Terra - Ciência da Computação - Teoria da Computação - Análise de Algoritmos e Complexidade de Computação, Engenharias - Engenharia de Produção - Pesquisa Operacional - Programação Linear, Não-Linear, Mista e Dinâmica",Tipo de vínculo desconhecido,sim,não,"ARTHUR HARRY FREDERICO RIBEIRO KRAMER (EXTERNO - Colaborador), LAYANE RODRIGUES DE SOUZA QUEIROZ (DOCENTE - Colaborador), MANUEL IORI (EXTERNO - Colaborador), MARIANA FERREIRA DE CARVALHO CHAVES (DISCENTE - Colaborador), RUAN MYLLER MAGALHAES DE OLIVEIRA (DISCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Coordenador)",EM ANDAMENTO,31/01/2024,01/02/2024 a 01/02/2034,
PI05837-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,MENTALIDADES MATEMÁTICAS: inovação em contextos de formação inicial e continuada de professores que ensinam matemática,"Ciências Exatas e da Terra - Matemática, Outras - Multidisciplinar",Tipo de vínculo desconhecido,sim,não,"ANDRE LUIZ GALDINO (DOCENTE - Colaborador), HENRIQUE MARINS DE CARVALHO (EXTERNO - Colaborador), JULIANA MORENO OLIVEIRA (EXTERNO - Colaborador), MARINA LONGHI DE FRANÇA (EXTERNO - Colaborador), SHIRLEY DA SILVA MACEDO (DOCENTE - Colaborador), THIAGO PORTO DE ALMEIDA FREITAS (DOCENTE - Coordenador), YA JEN CHANG BARRETO (EXTERNO - Colaborador)",EM ANDAMENTO,27/03/2024,01/03/2024 a 28/02/2026,
PI05772-2023,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Aprisionamento Acústico:   Um mecanismo para manipulação de objetos em levitação,Ciências Exatas e da Terra - Física - Áreas Clássicas de Fenomenologia e suas Aplicações - Acústica,Tipo de vínculo desconhecido,não,não,"ANDREINA DE SOUZA DOURADO (DISCENTE - Colaborador), CELSO VIEIRA ABUD (DOCENTE - Coordenador), KASSIO OLIVEIRA DE CASTRO (DISCENTE - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Colaborador)",EM ANDAMENTO (Documentos Conferidos),07/05/2023,15/05/2023 a 14/05/2025,
PI05802-2023,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,As potencialidades do Software Scratch e dos Jogos virtuais para a formação de professores de Matemática,Ciências Humanas - Educação - Ensino-Aprendizagem - Tecnologia Educacional,Tipo de vínculo desconhecido,não,não,"BRENNER DA FONSECA SOUZA (EXTERNO - Colaborador), CRHISTIANE DA FONSECA SOUZA (DOCENTE - Coordenador), DANIEL DA SILVEIRA GUIMARAES (DOCENTE - Colaborador), ELIDA ALVES DA SILVA (DOCENTE - Colaborador), FERNANDO DA COSTA BARBOSA (DOCENTE - Vice-coodernador)",EM ANDAMENTO,17/12/2024,15/04/2023 a 31/12/2025,
PI05815-2023,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,DESENVOLVIMENTO DA PESQUISA NO ÂMBITO DO  PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM E OTIMIZAÇÃO.,Outras - Multidisciplinar,Tipo de vínculo desconhecido,sim,não,"CELSO VIEIRA ABUD (DOCENTE - Vice-coodernador), DAYSE SILVEIRA DE ALMEIDA (DOCENTE - Colaborador), FRAN SERGIO LOBATO (EXTERNO - Colaborador), JOSE DOS REIS VIEIRA DE MOURA JUNIOR (DOCENTE - Colaborador), JOSE MATHEUS FERREIRA GOMES DOS PASSOS (SERVIDOR - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Coordenador), MARCOS AURELIO BATISTA (DOCENTE - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), NADIA FELIX FELIPE DA SILVA (EXTERNO - Colaborador), ROMES ANTONIO BORGES (DOCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador), VASTON GONCALVES DA COSTA (DOCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",EM ANDAMENTO,19/09/2023,19/09/2023 a 19/09/2025,
PI05767-2023,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Referenciais Móveis e Primeiro Teorema do Tipo-Noether para o Princípio Variacional de Herglotz,Ciências Exatas e da Terra - Matemática,Tipo de vínculo desconhecido,não,não,"FABIO AURELIO DE DEUS RIBEIRO QUEIROZ (DISCENTE - Colaborador), GASTÃO SILVES FERREIRA FREDERICO (EXTERNO - Colaborador), TANIA MARIA NUNES GONCALVES (DOCENTE - Coordenador)",EM ANDAMENTO (Documentos Conferidos),03/05/2023,03/05/2023 a 02/05/2026,
